S. No.,s1,s2,s3,lambda,Runred,Pollutant,Cost,Infiltration trench,Vegetated_filterstrip,Wet_pond,Bioretention,Constructed_wetland,Porous_Pavement,Grassed_swales,Sand_filter__surface_,Infiltration Basin,Rain Barrel,Time
0,0.2,0.2,0.2,0.643241037758718,10297934.691507,73872923612.5933,11679547466.1845,35977230.6617043,61249.4079770572,17109.0544877325,50034.3784223442,16879.8074928954,25709.5646432188,57757.6796687945,20231.1994438085,25752674.4852302,9143.54504216425,42.3050630092621
1,0.2,0.2,0.4,0.629423709875734,10090945.9859704,72789542986.5807,11392569385.6464,36830330.8535191,35375.7987267405,15997.7176380742,41806.8479433412,11789.6065761693,35305.8576081289,41042.3710335336,25879.3777535847,23557083.6240952,137957.957222455,42.3995335102081
2,0.2,0.2,0.6,0.612627402023804,9902482.94178114,71433372846.1745,11197113551.5903,36974426.7934277,27671.1206177141,16735.1199561496,62120.4908372243,12285.744786475,38839.6278433462,37868.1157776685,21060.0131713654,21657016.7411812,745575.612812968,43.603141784668
3,0.2,0.2,0.8,0.598862661158907,9640165.9260891,69761712466.2046,10911738076.1373,34599853.5046273,46616.7840294443,9886.25822043031,57314.944421983,16026.6918553271,27414.9892065707,45426.0733401266,20608.3666702466,23054820.6912319,141092.13798289,45.778116941452
4,0.2,0.2,1,0.58085553304634,9362276.04489017,67246838455.3678,10765035499.2848,33538079.2280241,50305.0174309455,20877.253244453,83959.1926925993,17392.7170619727,60353.1184547436,40399.6813013193,23439.7784846094,21241898.7473186,1276046.18853057,44.975640296936
5,0.2,0.4,0.2,0.642871189021791,10301365.2224986,76285059649.6893,11702927112.2602,37601574.9075949,55931.826579555,9997.27969683164,79918.2547996283,11203.1086275362,37353.1928848608,47638.3516641899,25763.8680906676,23965975.4396939,156383.558938753,46.3917667865753
6,0.2,0.4,0.4,0.629270204792753,10097446.1592789,74837482671.127,11397609979.64,37020782.1593218,40083.9170501879,8439.16492886707,46026.7735520066,12593.241726964,38446.7901793082,62916.5883092852,17078.6147748988,23495843.7242223,24325.4459959867,45.7510502338409
7,0.2,0.4,0.6,0.612133047438068,9837347.50664359,73159017678.6083,11212869938.6757,36913191.7839462,45975.0128429069,14894.6973576936,69431.8554567941,10007.9275524036,38257.0298856271,58765.2780883976,30442.4923224141,21690774.9090547,334598.827975963,47.763555765152
8,0.2,0.4,0.8,0.59796331764389,9627824.50149684,71749962280.0712,10939534779.9319,35252511.3304898,47657.6628460261,10669.1337235034,50556.444240597,11820.7834677053,33580.9201453974,63207.8036679603,27980.2690388493,22377897.539962,71375.2803944483,48.3915860652924
9,0.2,0.4,1,0.584584371026828,9425045.16183524,70472065459.8602,10653069906.6687,36102104.2040009,52948.9249189621,10799.7131709038,30280.1606415332,13297.7960119609,35315.3676774418,32776.4141691168,25298.9459820371,20365915.041788,58815.1363910802,50.4234952926636
