S. No.,beta1,beta2,beta3,lambda,Runred,Pollutant,Cost,Infiltration trench,Vegetated_filterstrip,Wet_pond,Bioretention,Constructed_wetland,Porous_Pavement,Grassed_swales,Sand_filter__surface_,Infiltration Basin,Rain Barrel,Time
0,0.1,0.1,0.1,0.960128589877216,10297934.691507,73872923612.5933,11679547466.1845,35977230.6617043,61249.4079770572,17109.0544877325,50034.3784223442,16879.8074928954,25709.5646432188,57757.6796687945,20231.1994438085,25752674.4852302,9143.54504216425,47.870903968811
1,0.1,0.1,0.4,0.911669533831643,6135225.52866062,44740220320.9503,7198116384.35723,22816866.1360661,52926.5357310962,12001.412742908,58896.3345425886,16985.2336108017,48072.9987442436,68619.0218977549,20102.1250783868,13353080.1361505,494435.812579065,50.1579930782318
2,0.1,0.1,1,0.868621879458858,3782367.80949703,28043826001.3067,4588403361.75158,13740838.7398277,41136.2374441975,11396.3418203628,54374.2311584379,14868.6865832095,29488.6869208582,47375.4808945195,34094.8394459608,7973041.60555819,841257.413645109,46.1416323184967
3,0.1,0.1,3,0.674489335174646,3505359.49486202,25594168762.6041,4302144035.90954,12159790.0017086,46675.5494377777,15946.7185745881,50543.0717793484,17075.8516101617,36062.5682931951,47945.4012705574,26641.3287967152,8307541.21163893,418285.630105505,46.5019242763519
4,0.1,0.1,5,0.518750440548241,3505359.49486202,25594168762.6041,4302144035.90954,12159790.0017086,46675.5494377777,15946.7185745881,50543.0717793484,17075.8516101617,36062.5682931951,47945.4012705574,26641.3287967152,8307541.21163893,418285.630105505,46.4463260173798
5,0.1,0.4,0.1,0.935561449989453,13739121.1800213,93921844104.565,17006440061.5164,42897739.6018045,195806.019829848,11871.2149481541,902714.447698815,17737.3591004206,36412.9338156851,84145.192565903,24423.0490988207,38354636.0071858,65025.9581281849,47.1328907012939
6,0.1,0.4,0.4,0.85554032257114,9931658.98285218,75102145289.0993,11288352470.3261,37978378.8803361,64218.4266793704,18330.8711032943,59863.9038243632,11699.0700477784,34493.7575521717,62399.1787980518,13461.4686240463,21500907.6199742,34959.6805604899,49.925389289856
7,0.1,0.4,1,0.773986871444115,6778847.68393727,58517888981.2902,7904186797.56882,30504948.2737501,81758.4728047428,16354.1166754444,55072.9582347555,13559.0566458921,24180.1235011652,60990.9314139707,25959.6281043401,10019552.5871843,20006.4033536162,49.4150989055634
8,0.1,0.4,3,0.642646846699277,3950250.51876999,36726715198.1941,4792532861.62017,19558414.4754106,58061.5788882889,6928.95054588172,58999.5421449927,16009.189262886,27158.1750809412,58055.3400023797,30629.9288634393,3955287.32244193,28481.6533406429,48.5403299331665
9,0.1,0.4,5,0.518750440548241,3505359.49486202,25594168762.6041,4302144035.90954,12159790.0017086,46675.5494377777,15946.7185745881,50543.0717793484,17075.8516101617,36062.5682931951,47945.4012705574,26641.3287967152,8307541.21163893,418285.630105505,49.7261457443237
10,0.1,1,0.1,0.907674461915012,14363499.0479122,100717178303.512,21697546983.7985,43139690.2454685,538794.467683809,57380.5471945787,1641931.19386828,37815.5962387285,74098.1801379004,277954.228007252,542676.28730733,40037604.7431857,185603.577734945,48.7678167819977
11,0.1,1,0.4,0.799984458751348,13001658.0940689,88742709599.2199,14950612488.6285,41138674.0416889,67580.407264826,12812.4362160655,235457.56371132,21392.5715728903,25507.0965621333,79769.9064396821,22003.2155311797,36621461.4279746,4896.38181486808,46.3685503005982
12,0.1,1,1,0.677019546974632,9931658.98285218,75102145289.0993,11288352470.3261,37978378.8803361,64218.4266793704,18330.8711032943,59863.9038243632,11699.0700477784,34493.7575521717,62399.1787980518,13461.4686240463,21500907.6199742,34959.6805604899,47.4827129840851
13,0.1,1,3,0.490405685269076,6281921.51360443,54400968465.7723,7364284827.69655,28279581.2405343,46610.4238639212,11160.2742892613,52647.4192766103,17523.8580484594,46185.7956484768,59918.0485978052,33031.9743161272,9257842.51500667,21912.520809331,48.7328639030457
14,0.1,1,5,0.399693668448062,4935298.25344353,44338235274.0906,5851635570.01402,24523876.5987138,56286.2695160611,11994.8795697985,48956.2349582672,16078.3776180895,51955.5433342732,48381.8927641465,17577.4182154019,4937917.10843003,8725.12545269279,48.8729951381683
15,0.1,3,0.1,0.755675459356186,14551036.992589,101040675535.074,22497358339.0057,43140390.6091812,435444.611779183,48670.5252264927,1581641.49629712,46748.6931968373,80035.8287823137,193481.436532652,828255.001088235,40095150.8573687,1270490.53013268,46.2596275806427
